order_date,count
2/26/1998,6
4/27/1998,4
3/6/1998,4
3/11/1998,4
3/27/1998,4
5/5/1998,4
4/14/1998,4
4/22/1998,4
3/19/1998,4
3/3/1998,4
4/30/1998,4
5/6/1998,4
4/1/1998,4
3/16/1998,4
4/9/1998,4
4/6/1998,4
4/17/1998,4
3/24/1998,4
2/6/1998,3
5/1/1998,3
3/25/1998,3
2/18/1998,3
2/16/1998,3
1/5/1998,3
3/20/1998,3
5/4/1998,3
12/30/1997,3
2/27/1998,3
4/15/1998,3
4/21/1998,3
1/19/1998,3
3/9/1998,3
2/24/1998,3
3/30/1998,3
1/9/1998,3
4/29/1998,3
2/20/1998,3
1/13/1998,3
12/24/1997,3
1/7/1998,3
4/10/1998,3
1/15/1998,3
4/3/1998,3
4/7/1998,3
3/5/1998,3
1/23/1998,3
2/2/1998,3
2/4/1998,3
4/24/1998,3
4/16/1998,3
1/21/1998,3
3/18/1998,3
12/16/1997,3
12/18/1997,3
3/31/1998,3
2/10/1998,3
1/27/1998,3
4/8/1998,3
4/13/1998,3
12/26/1997,3
12/22/1997,3
4/20/1998,3
3/23/1998,3
4/2/1998,3
1/1/1998,3
1/29/1998,3
3/10/1998,3
3/4/1998,3
2/12/1998,3
4/23/1998,3
3/17/1998,3
3/12/1998,3
3/2/1998,3
4/28/1998,3
3/26/1998,3
3/13/1998,3
9/4/1997,2
9/26/1997,2
9/2/1997,2
7/19/1996,2
6/6/1997,2
12/12/1996,2
10/29/1997,2
1/3/1997,2
1/16/1997,2
12/27/1996,2
12/2/1997,2
9/23/1997,2
1/23/1997,2
12/31/1997,2
2/28/1997,2
2/5/1998,2
11/14/1997,2
9/1/1997,2
6/30/1997,2
1/27/1997,2
5/14/1997,2
5/12/1997,2
8/27/1996,2
11/17/1997,2
12/18/1996,2
4/15/1997,2
10/3/1997,2
4/18/1997,2
6/3/1997,2
1/21/1997,2
3/17/1997,2
1/28/1998,2
11/27/1997,2
9/9/1997,2
7/16/1997,2
5/1/1997,2
11/11/1997,2
3/24/1997,2
12/5/1997,2
8/14/1997,2
2/14/1997,2
7/18/1997,2
10/22/1997,2
2/3/1998,2
12/5/1996,2
11/7/1997,2
5/8/1997,2
3/11/1997,2
8/28/1997,2
10/6/1997,2
9/15/1997,2
3/20/1997,2
12/19/1997,2
9/9/1996,2
9/17/1997,2
1/22/1998,2
4/9/1997,2
11/11/1996,2
7/2/1997,2
8/25/1997,2
8/14/1996,2
9/12/1997,2
3/13/1997,2
7/11/1997,2
1/10/1997,2
9/10/1997,2
4/22/1997,2
12/16/1996,2
4/2/1997,2
1/7/1997,2
8/5/1997,2
12/29/1997,2
2/19/1997,2
1/26/1998,2
2/5/1997,2
11/28/1997,2
10/16/1997,2
11/28/1996,2
1/8/1998,2
10/24/1997,2
10/13/1997,2
11/4/1997,2
9/22/1997,2
6/23/1997,2
7/7/1997,2
8/1/1996,2
8/20/1997,2
2/10/1997,2
8/19/1997,2
11/26/1996,2
6/12/1997,2
12/11/1997,2
7/8/1996,2
3/26/1997,2
1/14/1997,2
1/12/1998,2
7/25/1997,2
11/3/1997,2
11/24/1997,2
10/1/1997,2
4/29/1997,2
1/6/1998,2
12/3/1996,2
10/16/1996,2
10/3/1996,2
2/25/1998,2
8/11/1997,2
2/12/1997,2
5/28/1997,2
1/30/1998,2
10/29/1996,2
7/9/1997,2
2/13/1998,2
7/22/1997,2
1/20/1998,2
4/11/1997,2
5/21/1997,2
7/31/1997,2
9/5/1997,2
5/19/1997,2
10/9/1997,2
6/10/1997,2
11/12/1997,2
8/27/1997,2
12/17/1997,2
4/24/1997,2
12/8/1997,2
12/9/1996,2
9/25/1997,2
3/4/1997,2
6/26/1997,2
2/21/1997,2
3/31/1997,2
10/8/1997,2
2/9/1998,2
11/20/1997,2
5/30/1997,2
2/25/1997,2
2/19/1998,2
2/17/1998,2
12/25/1996,2
7/29/1997,2
1/16/1998,2
8/22/1997,2
12/10/1997,2
9/30/1997,2
9/18/1997,2
1/30/1997,2
12/23/1997,2
12/23/1996,2
10/30/1997,2
1/2/1998,2
1/14/1998,2
11/19/1997,2
3/6/1997,2
2/23/1998,2
8/12/1997,2
11/22/1996,2
12/15/1997,2
6/19/1997,2
11/6/1997,2
12/3/1997,2
8/15/1997,2
12/25/1997,2
8/7/1997,2
10/27/1997,2
6/17/1997,2
5/23/1997,2
10/21/1997,2
2/11/1998,2
9/20/1996,2
5/5/1997,2
2/3/1997,2
1/1/1997,2
10/14/1997,2
11/25/1997,2
10/17/1997,2
4/4/1997,2
10/11/1996,1
10/28/1997,1
5/9/1997,1
8/21/1996,1
8/7/1996,1
8/5/1996,1
8/12/1996,1
8/16/1996,1
11/21/1997,1
11/18/1997,1
1/13/1997,1
5/29/1997,1
1/29/1997,1
3/25/1997,1
9/29/1997,1
10/7/1996,1
11/1/1996,1
9/13/1996,1
8/4/1997,1
7/17/1997,1
6/25/1997,1
11/8/1996,1
8/2/1996,1
10/23/1996,1
8/29/1997,1
12/1/1997,1
1/31/1997,1
10/31/1996,1
8/20/1996,1
10/15/1997,1
4/28/1997,1
2/26/1997,1
8/13/1996,1
7/15/1996,1
10/10/1997,1
3/27/1997,1
10/2/1996,1
12/9/1997,1
7/10/1996,1
9/30/1996,1
2/17/1997,1
10/1/1996,1
12/6/1996,1
11/6/1996,1
7/18/1996,1
2/6/1997,1
9/24/1997,1
12/17/1996,1
1/9/1997,1
10/23/1997,1
3/7/1997,1
10/28/1996,1
12/31/1996,1
11/7/1996,1
7/22/1996,1
10/22/1996,1
10/15/1996,1
7/30/1996,1
10/14/1996,1
11/5/1996,1
4/14/1997,1
11/20/1996,1
10/2/1997,1
6/5/1997,1
9/3/1996,1
3/21/1997,1
9/19/1996,1
10/17/1996,1
8/6/1997,1
9/8/1997,1
11/26/1997,1
